Date,Price,Open,High,Low,Vol.,Change %
02/21/2021,"57,381.70","55,868.80","57,672.90","55,868.80",0.13K,2.69%
02/20/2021,"55,879.30","55,875.40","57,121.10","55,512.30",0.17K,0.01%
02/19/2021,"55,875.40","51,581.00","55,875.40","51,309.20",0.17K,8.33%
02/18/2021,"51,581.00","52,058.40","52,204.10","51,511.70",0.11K,-0.92%
02/17/2021,"52,058.40","49,919.90","52,307.50","49,919.90",0.15K,6.89%
02/16/2021,"48,701.80","47,915.60","49,600.00","47,915.60",0.14K,1.64%
02/15/2021,"47,915.60","48,631.00","48,631.00","46,875.80",0.12K,-1.47%
02/14/2021,"48,631.10","47,149.60","49,167.30","47,149.60",0.16K,3.14%
02/13/2021,"47,149.60","47,335.10","47,726.00","46,726.00",0.12K,-0.39%
02-12-2021,"47,335.10","47,942.70","48,395.30","47,016.60",0.23K,-1.27%
02-11-2021,"47,942.70","44,824.70","47,966.60","44,379.80",0.18K,6.96%
02-10-2021,"44,824.70","46,518.40","46,778.40","44,717.10",0.17K,-3.64%
02-09-2021,"46,518.40","46,317.60","47,779.70","45,917.30",0.20K,0.43%
02-08-2021,"46,317.60","38,790.40","46,317.60","38,181.50",0.28K,19.38%
02-07-2021,"38,800.00","39,233.00","39,347.90","38,059.50",0.14K,-1.10%
02-06-2021,"39,233.00","38,267.50","40,511.10","38,267.50",0.18K,2.52%
02-05-2021,"38,267.50","36,945.60","38,267.50","36,775.70",0.11K,3.58%
02-04-2021,"36,946.20","37,597.40","37,984.10","36,727.10",0.16K,-1.73%
02-03-2021,"37,597.40","35,480.70","37,597.40","35,480.70",0.15K,5.97%
02-02-2021,"35,480.70","33,568.80","35,712.80","33,568.80",0.17K,5.70%
02-01-2021,"33,568.80","33,115.10","34,134.20","32,601.80",0.16K,1.37%
01/31/2021,"33,115.10","34,230.10","34,230.10","32,606.50",0.15K,-3.26%
01/30/2021,"34,230.10","34,255.50","34,347.50","33,444.60",0.15K,0.01%
01/29/2021,"34,228.10","33,354.40","37,800.00","32,576.70",0.53K,2.62%
01/28/2021,"33,354.40","30,350.00","33,354.40","30,350.00",0.16K,9.90%
01/27/2021,"30,350.00","32,511.90","32,511.90","29,717.30",0.15K,-6.65%
01/26/2021,"32,511.90","32,271.30","32,534.60","31,355.40",0.14K,0.75%
01/25/2021,"32,271.30","32,238.80","34,644.60","32,238.80",0.21K,0.10%
01/24/2021,"32,238.80","32,072.80","32,832.70","31,661.40",0.11K,0.52%
01/23/2021,"32,072.80","32,941.80","32,941.80","31,856.10",0.12K,-2.70%
01/22/2021,"32,961.30","30,822.30","33,627.60","30,351.70",0.30K,6.94%
01/21/2021,"30,822.30","35,463.30","35,463.30","30,822.30",0.31K,-13.09%
01/20/2021,"35,463.30","35,921.80","35,921.80","34,417.40",0.16K,-1.27%
01/19/2021,"35,918.20","36,630.60","37,600.90","35,918.20",0.24K,-1.94%
01/18/2021,"36,630.60","35,810.20","36,845.10","35,080.80",0.16K,2.25%
01/17/2021,"35,825.30","36,014.40","36,629.30","34,640.80",0.15K,-0.52%
01/16/2021,"36,014.40","36,763.30","37,882.50","36,014.40",0.18K,-2.04%
01/15/2021,"36,763.30","39,178.40","39,211.80","35,889.80",0.24K,-6.16%
01/14/2021,"39,178.40","37,356.10","39,705.00","37,356.10",0.22K,4.88%
01/13/2021,"37,356.10","34,068.90","37,356.10","32,476.40",0.27K,9.65%
01-12-2021,"34,068.90","35,367.30","36,062.90","33,618.20",0.32K,-3.67%
01-11-2021,"35,367.30","38,173.80","38,173.80","30,651.60",0.66K,-7.37%
01-10-2021,"38,181.50","40,093.50","40,968.00","38,181.50",0.34K,-4.77%
01-09-2021,"40,093.50","40,573.40","41,125.00","39,449.10",0.15K,-1.18%
01-08-2021,"40,573.40","39,429.50","41,226.20","37,951.60",0.31K,2.90%
01-07-2021,"39,429.50","36,716.50","39,429.50","36,716.50",0.28K,7.39%
01-06-2021,"36,716.50","33,942.10","36,716.50","33,808.00",0.29K,8.17%
01-05-2021,"33,942.10","32,000.00","33,942.10","30,940.80",0.25K,6.14%
01-04-2021,"31,977.30","33,015.30","33,225.90","30,246.40",0.35K,-3.14%
01-03-2021,"33,015.30","32,196.70","34,270.20","32,196.70",0.29K,2.54%
01-02-2021,"32,196.70","29,315.90","32,900.00","29,148.00",0.29K,9.83%
01-01-2021,"29,315.90","28,959.10","29,328.20","28,959.10",0.08K,1.23%
12/31/2020,"28,959.10","28,856.90","29,129.60","28,400.00",0.12K,0.35%
12/30/2020,"28,856.90","27,390.00","28,856.90","27,390.00",0.14K,5.36%
12/29/2020,"27,390.00","27,081.90","27,390.00","26,173.30",0.10K,1.14%
12/28/2020,"27,081.90","26,272.10","27,365.50","26,272.10",0.11K,3.08%
12/27/2020,"26,272.10","26,484.90","28,177.50","26,168.60",0.23K,-0.76%
12/26/2020,"26,472.50","24,718.20","26,472.50","24,610.70",0.31K,7.10%
12/25/2020,"24,718.20","23,729.40","24,718.20","23,545.60",0.16K,4.17%
12/24/2020,"23,729.40","23,228.10","23,729.40","22,912.00",0.07K,2.16%
12/23/2020,"23,228.10","23,830.00","23,830.00","23,228.10",0.16K,-2.53%
12/22/2020,"23,830.00","22,750.40","23,830.00","22,626.80",0.11K,4.75%
12/21/2020,"22,750.40","23,501.70","23,980.80","22,637.50",0.17K,-3.20%
12/20/2020,"23,501.70","23,835.40","23,835.40","23,428.60",0.13K,-1.40%
12/19/2020,"23,835.40","23,098.30","23,886.00","22,890.70",0.13K,3.19%
12/18/2020,"23,098.30","22,792.00","23,233.50","22,450.00",0.16K,1.25%
12/17/2020,"22,812.20","21,340.10","23,529.50","21,340.10",0.49K,6.90%
12/16/2020,"21,340.10","19,421.40","21,340.10","19,348.00",0.28K,9.88%
12/15/2020,"19,421.40","19,272.80","19,495.60","19,135.40",0.14K,0.77%
12/14/2020,"19,272.80","19,165.30","19,272.80","19,073.80",0.07K,0.56%
12/13/2020,"19,165.30","18,786.80","19,336.80","18,750.30",0.12K,2.01%
12-12-2020,"18,786.80","18,028.20","18,823.00","18,028.20",0.10K,4.21%
12-11-2020,"18,028.20","18,240.30","18,240.30","17,784.30",0.08K,-1.19%
12-10-2020,"18,245.10","18,543.80","18,543.80","18,164.80",0.07K,-1.61%
12-09-2020,"18,543.80","18,328.60","18,543.80","17,975.30",0.12K,1.17%
12-08-2020,"18,328.60","19,172.70","19,209.20","18,328.60",0.14K,-4.40%
12-07-2020,"19,172.70","19,359.40","19,359.40","19,017.30",0.08K,-0.96%
12-06-2020,"19,359.40","19,140.60","19,359.40","19,055.00",0.07K,1.14%
12-05-2020,"19,140.60","18,653.20","19,140.60","18,606.90",0.06K,2.61%
12-04-2020,"18,653.20","19,418.30","19,418.30","18,653.20",0.13K,-3.94%
12-03-2020,"19,418.30","19,201.40","19,422.20","18,961.20",0.12K,1.06%
12-02-2020,"19,214.40","18,782.10","19,214.40","18,509.90",0.16K,2.30%
12-01-2020,"18,782.10","19,667.30","19,667.30","18,782.10",0.33K,-4.50%
11/30/2020,"19,667.30","18,182.30","19,667.30","18,182.30",0.26K,8.17%
11/29/2020,"18,182.30","17,718.80","18,192.70","17,608.80",0.12K,2.60%
11/28/2020,"17,720.80","17,135.00","17,801.70","16,900.80",0.12K,3.42%
11/27/2020,"17,135.00","17,166.80","17,366.10","16,645.30",0.15K,-0.19%
11/26/2020,"17,166.80","18,718.80","18,718.80","16,549.60",0.35K,-8.29%
11/25/2020,"18,718.80","19,153.10","19,220.20","18,718.80",0.19K,-2.27%
11/24/2020,"19,153.10","18,380.60","19,381.20","18,221.00",0.26K,4.20%
11/23/2020,"18,380.60","18,435.40","18,700.70","18,266.70",0.14K,-0.30%
11/22/2020,"18,435.40","18,699.90","18,699.90","18,083.40",0.17K,-1.41%
